review_text,cleaned_text,tokens,stemmed_tokens,final_text
"Coffee shop worth it banget buat suka ngopi harga murah, rasa standar,  ada wifi,  cocok buat tempat ngerjain tugas, Ac,  cozy, tempat strategis, pelayanannya ramah.  Tapi tempanya sering ramai.",coffee shop worth it banget buat suka ngopi harga murah rasa standar ada wifi cocok buat tempat ngerjain tugas ac cozy tempat strategis pelayanannya ramah tapi tempanya sering ramai,"['coffee', 'shop', 'worth', 'banget', 'suka', 'ngopi', 'harga', 'murah', 'standar', 'wifi', 'cocok', 'ngerjain', 'tugas', 'ac', 'cozy', 'strategis', 'pelayanannya', 'ramah', 'tempanya', 'ramai']","['coffee', 'shop', 'worth', 'banget', 'suka', 'ngopi', 'harga', 'murah', 'standar', 'wifi', 'cocok', 'ngerjain', 'tugas', 'ac', 'cozy', 'strategis', 'layan', 'ramah', 'tempa', 'ramai']",coffee shop worth banget suka ngopi harga murah standar wifi cocok ngerjain tugas ac cozy strategis layan ramah tempa ramai
"Resto gak profesional kalau dah ikut online seharus nya oderan masuk di buat kan gak harus antri sama oderan offline, udah gitu gak dibuatin sesuai kedatangan customer, driver yang udah nunggu lama dilompatin terus.",resto gak profesional kalau dah ikut online seharus nya oderan masuk di buat kan gak harus antri sama oderan offline udah gitu gak dibuatin sesuai kedatangan customer driver yang udah nunggu lama dilompatin terus,"['resto', 'gak', 'profesional', 'dah', 'online', 'seharus', 'nya', 'oderan', 'masuk', 'gak', 'antri', 'oderan', 'offline', 'udah', 'gitu', 'gak', 'dibuatin', 'sesuai', 'kedatangan', 'customer', 'driver', 'udah', 'nunggu', 'dilompatin']","['resto', 'gak', 'profesional', 'dah', 'online', 'harus', 'nya', 'oderan', 'masuk', 'gak', 'antri', 'oderan', 'offline', 'udah', 'gitu', 'gak', 'dibuatin', 'sesuai', 'datang', 'customer', 'driver', 'udah', 'nunggu', 'dilompatin']",resto gak profesional dah online harus nya oderan masuk gak antri oderan offline udah gitu gak dibuatin sesuai datang customer driver udah nunggu dilompatin
"Cabang Couvee di Jogja yang bisa buat nongkrong, nyore, dan ngerjain tugas. Mau sendiri atau sama temen-temen, bisa banget. Varian minuman banyak dan murah, enak-enak, ada yang coffee dan non-coffee. Minuman favorit, White. Untuk tempat, agak nyelip, patokannya, kirinya Circle K. Ada indoor, semi-outdoor, dan outdoor. Toilet ada. Parkir luas, 2-4 mobil bisa masuk, masuk parkiran, bukan coffee shopnya. Instagrammable? Ya. Overall excellent!",cabang couvee di jogja yang bisa buat nongkrong nyore dan ngerjain tugas mau sendiri atau sama tementemen bisa banget varian minuman banyak dan murah enakenak ada yang coffee dan noncoffee minuman favorit white untuk tempat agak nyelip patokannya kirinya circle k ada indoor semioutdoor dan outdoor toilet ada parkir luas mobil bisa masuk masuk parkiran bukan coffee shopnya instagrammable ya overall excellent,"['cabang', 'couvee', 'jogja', 'nongkrong', 'nyore', 'ngerjain', 'tugas', 'tementemen', 'banget', 'varian', 'minuman', 'murah', 'enakenak', 'coffee', 'noncoffee', 'minuman', 'favorit', 'white', 'nyelip', 'patokannya', 'kirinya', 'circle', 'k', 'indoor', 'semioutdoor', 'outdoor', 'toilet', 'parkir', 'luas', 'mobil', 'masuk', 'masuk', 'parkiran', 'coffee', 'shopnya', 'instagrammable', 'ya', 'overall', 'excellent']","['cabang', 'couvee', 'jogja', 'nongkrong', 'nyore', 'ngerjain', 'tugas', 'tementemen', 'banget', 'varian', 'minum', 'murah', 'enakenak', 'coffee', 'noncoffee', 'minum', 'favorit', 'white', 'nyelip', 'patok', 'kiri', 'circle', 'k', 'indoor', 'semioutdoor', 'outdoor', 'toilet', 'parkir', 'luas', 'mobil', 'masuk', 'masuk', 'parkir', 'coffee', 'shopnya', 'instagrammable', 'ya', 'overall', 'excellent']",cabang couvee jogja nongkrong nyore ngerjain tugas tementemen banget varian minum murah enakenak coffee noncoffee minum favorit white nyelip patok kiri circle k indoor semioutdoor outdoor toilet parkir luas mobil masuk masuk parkir coffee shopnya instagrammable ya overall excellent
Kopinya juga enakk bener yg java sama caramel machiatto,kopinya juga enakk bener yg java sama caramel machiatto,"['kopinya', 'enakk', 'bener', 'yg', 'java', 'caramel', 'machiatto']","['kopi', 'enakk', 'bener', 'yg', 'java', 'caramel', 'machiatto']",kopi enakk bener yg java caramel machiatto
Ngantri lama bgt mesen cuman satu antri sejam. Gak worth it.,ngantri lama bgt mesen cuman satu antri sejam gak worth it,"['ngantri', 'bgt', 'mesen', 'cuman', 'antri', 'sejam', 'gak', 'worth']","['ngantri', 'bgt', 'mesen', 'cuman', 'antri', 'jam', 'gak', 'worth']",ngantri bgt mesen cuman antri jam gak worth
Tempatnya rame. Minumannya enak. Wifinya kenceng. Enak buat kerja laptopan sambil menangisi nasib.,tempatnya rame minumannya enak wifinya kenceng enak buat kerja laptopan sambil menangisi nasib,"['tempatnya', 'rame', 'minumannya', 'enak', 'wifinya', 'kenceng', 'enak', 'kerja', 'laptopan', 'menangisi', 'nasib']","['tempat', 'rame', 'minum', 'enak', 'wifinya', 'kenceng', 'enak', 'kerja', 'laptop', 'tangis', 'nasib']",tempat rame minum enak wifinya kenceng enak kerja laptop tangis nasib
"Paling cocok buat mahasiswa. Ada spot buat nugas sendiri, ada spot buat nugas dlm kelompok kecil, ada spot buat nugas dlm kelmpok gede juga.",paling cocok buat mahasiswa ada spot buat nugas sendiri ada spot buat nugas dlm kelompok kecil ada spot buat nugas dlm kelmpok gede juga,"['cocok', 'mahasiswa', 'spot', 'nugas', 'spot', 'nugas', 'dlm', 'kelompok', 'spot', 'nugas', 'dlm', 'kelmpok', 'gede']","['cocok', 'mahasiswa', 'spot', 'nugas', 'spot', 'nugas', 'dlm', 'kelompok', 'spot', 'nugas', 'dlm', 'kelmpok', 'gede']",cocok mahasiswa spot nugas spot nugas dlm kelompok spot nugas dlm kelmpok gede
"Salah satu kopi yg best di Jogjaa, termasuk yg favorit juga, salted caramel less sugar, Masya Allah creamy banget 😍",salah satu kopi yg best di jogjaa termasuk yg favorit juga salted caramel less sugar masya allah creamy banget,"['salah', 'kopi', 'yg', 'best', 'jogjaa', 'yg', 'favorit', 'salted', 'caramel', 'less', 'sugar', 'masya', 'allah', 'creamy', 'banget']","['salah', 'kopi', 'yg', 'best', 'jogjaa', 'yg', 'favorit', 'salted', 'caramel', 'less', 'sugar', 'masya', 'allah', 'creamy', 'banget']",salah kopi yg best jogjaa yg favorit salted caramel less sugar masya allah creamy banget
Nunggunya kelamaan orderan online harus ikut antri kyak ofline gak langsung dibuatin,nunggunya kelamaan orderan online harus ikut antri kyak ofline gak langsung dibuatin,"['nunggunya', 'orderan', 'online', 'antri', 'kyak', 'ofline', 'gak', 'langsung', 'dibuatin']","['nunggunya', 'order', 'online', 'antri', 'kyak', 'ofline', 'gak', 'langsung', 'dibuatin']",nunggunya order online antri kyak ofline gak langsung dibuatin
"Servicenya okee dan cepatt, kopinya enak jugaa. Untuk tempatnyaa enjoy untuk mahasiswa yg baru laptopan, dan yg di lantai 2 cocok untuk tempat nongkrong. Karyawan ramaah ssemua",servicenya okee dan cepatt kopinya enak jugaa untuk tempatnyaa enjoy untuk mahasiswa yg baru laptopan dan yg di lantai cocok untuk tempat nongkrong karyawan ramaah ssemua,"['servicenya', 'okee', 'cepatt', 'kopinya', 'enak', 'jugaa', 'tempatnyaa', 'enjoy', 'mahasiswa', 'yg', 'laptopan', 'yg', 'lantai', 'cocok', 'nongkrong', 'karyawan', 'ramaah', 'ssemua']","['servicenya', 'okee', 'cepatt', 'kopi', 'enak', 'jugaa', 'tempatnyaa', 'enjoy', 'mahasiswa', 'yg', 'laptop', 'yg', 'lantai', 'cocok', 'nongkrong', 'karyawan', 'ramaah', 'ssemua']",servicenya okee cepatt kopi enak jugaa tempatnyaa enjoy mahasiswa yg laptop yg lantai cocok nongkrong karyawan ramaah ssemua
